artistname,birthdate,death date,birthplace,country of residence,biography text,nationality
Chafic Abboud Maidan,1926,2004,Lebanon,"Paris, France","Abboud studied art at the Academy of Fine Arts, Beirut in 1947. He then went to Paris where he trained in the ateliers of Cubists Fernand Léger and André Lhote. In 1962 Abboud recommenced his studies at the École Nationale Supérieure des Beaux-Arts. Throughout his career, Abboud received different international and regional awards such as the Victor Choquet Prize in France in 1961 and the Sursock Museum Prize in Lebanon in 1964. He participated in the first Paris Biennale in 1959.",Lebanese
Hamed Abdalla,1917,1985,"Cairo, Egypt","Cairo, Denmark and Paris, France","Abdalla studied at the School of Applied Arts and the School of Decorative Arts in Cairo from 1931 to 1935, focusing on wrought-iron design. He debuted at the Salon du Caire in 1938, and later founded his own private art school in 1943, where he taught and advised many prominent Egyptian artists, including Inji Efflatoun and his first wife and protégée Taheya Halim. He traveled in Europe extensively after World War II, and eventually relocated to Copenhagen in 1956. Ten years later he moved to Paris, where he spent the remainder of his life.",Egyptian
Jellal Ben Abdallah,1921,,"Tunis, Tunisia","Sidi Bou Said, Tunisia","Ben Abdallah studied in Tunis at the Lycée Carnot before moving away from the city in 1939 to the northern town of Sidi Bou Said. He was considered a contributing artist of the École de Tunis, a school of painting which flourished between the 1940s and 1970s.",Tunisian
Etel Adnan,1925,,"Beirut, Lebanon","California, Paris, and Beirut","An artist, writer and poet, Adnan received a degree in philosophy from the Sorbonne in Paris in the 1950s before moving to the United States, where she continued her graduate studies at the University of California in Berkeley, and at Harvard University. Adnan has published many books in English, Arabic, and French, including poetry, essays, and the novel Sitt Marie Rose in 1978. For many years she taught philosophy of art at the Dominican University of California in San Rafael, and has lectured at universities throughout the United States.",Lebanese
Rifaat Ahmad,1931,,"Cairo, Egypt","Cairo, Egypt","Ahmed completed a degree in Painting at the Faculty of Fine Arts in Cairo in 1959. He worked at the Cairo train Station and for National Egyptian Television. In 1963 he received a grant to work as an artist full-time for seven consecutive years. Ahmad participated in several biennials, including Zagreb, Baghdad, Venice, and Paris.",Egyptian
Yousef Ahmad,1955,,"Doha, Qatar","Doha, Qatar","Ahmad earned his Bachelor's Degree in Arts and Education from Helwan University, Cairo, in 1976 before going on to pursue a MFA from Mills College in California. He trained in classical calligraphy, and worked as a calligrapher and a caricaturist. After completing his studies, Ahmad took up a post at Qatar University, where he taught art over twenty years. Ahmad won First Prize at the Baghdad Festival in 1988, and was the director of the Arab Museum of Modern Art in Qatar when the collection was still privately owned.",Qatari
Mahood Ahmed,1940,,"Missan, Iraq","Amman, Jordan","Ahmed began studying art at the Academy of Fine Arts in Baghdad in 1959, and continued his studies in Moscow, where he earned a Ph.D. in 1979. As both a professor of art and an artist, Ahmed has participated in many international art conferences, and has published on the subjects of Islamic and modern art. He was a member of the Pioneers Group when it was active, and belongs to the Society of Fine Arts in Iraq.",Iraqi
Mariam Abdel Aleem,1930,2010,"Alexandria, Egypt","Alexandria and Cairo, Egypt","Aleem spent many years in the United States attending both the Pratt Institute in New York and the University of Southern California, where she completed her Master's Degree in Graphic Art in 1957. Upon her return to Cairo, she earned a Ph.D. from Helwan University, and began teaching at Alexandria's Faculty of Fine Arts in 1968. She was made Head of the Design Department, a position she held until her final appointment as Professor Emerita.",Egyptian
Asaad Arabi,1941,,"Damascus, Syria","Paris, France and Damascus, Syria","Arabi studied painting at the Faculty of Fine Arts at Damascus University before receiving a diploma from the Higher Institute of Fine Arts in Paris in 1983. He then earned a Ph.D. from the Sorbonne in 1987. A French citizen and resident of Paris since 1975, Arabi's art scholarship and writings have been published in both French and Arabic.",Syrian / French
Mohammed Arif,1937,2009,"Rawanduz, Iraq","Baghdad and Suleimania, Iraq","Artist, professor and critic, Arif graduated from the College of Fine Arts, Baghdad in 1956, gained his MFA from the Surikov Academy, Moscow in 1967, and Ph.D. in the Philosophy of Art from Salah al-Din University in Arbil (Iraq) in 2004. Arif was one of the founders of Arbil Fine Arts College and also a member of the Baghdad Modern Art Group. In 1974 he became a member of the International Association of Art. In addition, he published books and essays on applied art and art theory in Arabic, Kurdish, and Russian.",Iraqi
Layla al-Attar,1940,1993,"Baghdad, Iraq","Baghdad, Iraq","Al-Attar graduated from the Academy of Fine Arts, Baghdad, in 1965. She was the director of the Iraqi National Museum, as well as a member of the Iraqi Artists Society. She represented Iraq in various biennials, and won several regional awards including the Golden Sail Medal at the Cairo Biennial in 1984. Al-Attar was killed in 1993 by a US missile in Iraq.",Iraqi
Suad al-Attar,1942,,"Baghdad, Iraq","London, United Kingdom","Al-Attar obtained a degree in fine art from the Academy of Fine Arts in Baghdad, and another from California State University. Later she received degrees in printmaking from the Wimbledon School of Art and the Central School of Art and Design in London. She is a member of the Iraqi Artists Society, and has exhibited widely, participating in regional and international biennials. She has received numerous awards such as at the 3rd World Biennial of Graphic Art in London in 1978.",Iraqi
