WorkName,ArtistName,YearCreated,Medium,Dimensions,AquisitionDate,ImageLink,Themes
Unknown,Chafic Abboud,1958,Oil on Panel,69x70 cm,2007.1.1668,2007.1.1668.jpg,Nature 
Unknown,Ragheb Ayad,1923,Oil on Cardboard,90.6x69.4 cm,2007.1.1711,2007.1.1711.jpg,Nature 
Melons,Daoud Corm,1899,Oil on Canvas ,60.1x73.2 cm,2007.1.2775,2007.1.2775.jpg,Nature 
Unknown,Saliba Douality,1968,Oil on Canvas ,45.7x68.8 cm,2009.6.7,2009.6.7.jpg,Nature 
Unknown,Khalid al-Rahhal,1966,Oil on Board,41.60 cm,2007.1.3344,2007.1.3344.jpg,Nature 
Flowers,Taheya Halim,1942,Oil on Canvas on Board,44.5x35 cm,2007.1.2870,2007.1.2870.jpg,Nature 
Unknown,Nazeer Khalil,1939,Oil on Board ,37.5x47.8cm,2007.1.1126,2007.1.1126.jpg,Nature 
Unknown,Fateh al-Moudarres,1962,Oil on Canvas,68.3x49 cm,2007.1.1665,2007.1.1665.jpg,Nature 
Unknown,Mohammed Nagy,1930,Oil on Canvas,31.1x44.2 cm,2007.1.2884,2007.1.2884.jpg,Nature 
Maloya,Georges Sabbagh,1929,Oil on Canvas ,65x82 cm,L2010.8.7,L2010.8.7.jpg,Nature 
Unknown,Mahmoud Said,Unknown,Oil on Canvas,21.7x34.5 cm,2007.1.1709,2007.1.1709.jpg,Nature 
Unknown,Kamel Mostafa,Unknown,Oil on Board,18.7x34.8cm,2007.1.2897,2007.1.2897.jpg,Nature 
Unknown,Youssef Kamel,Unknown,Oil on Canvas,52x79 cm,L2010.8.6,L2010.8.6.jpg,Nature 
Village under the wings of silence,Nouri al-Rawi,1977,Oil on Canvas,131x115 cm,2007.1.300,2007.1.300.jpg,Nature 
River scene on the banks of the Tigris,Abdul Qadir al-Rassam,1340,Oil on Canvas,63.1x93.2 cm,2008.15.4,2008.15.4.jpg,Nature 
From Jabal Al Arab,Nazem al-Jaafari,1957,Oil on Canvas,143x103 cm,2008.15.3,2008.15.3.jpg,Family
Maternités Arabes [Arab Motherhood],Georges Sabbagh,1920-1921,Oil on Canvas ,195x129 cm,2007.1.1633,2007.1.1633.jpg,Family
Unknown,Khalid al-Jadar,1976,Oil on Canvas,41x48.2 cm,2007.1.168,2007.1.168.jpg,Family
Relationship,Faisal Laibi,1989,Oil on Canvas,101x91.3 cm,2007.1.391,2007.1.391.jpg,Family
Unknown,Ahmad Nawash,1992,Oil on Canvas ,74.5x94.5 cm,2007.1.1076,2007.1.1076.jpg,Family
"A Couple, Young Man and Wife",Jewad Selim,1953,Oil on Canvas,50.7x76.1cm,2008.15.20,2008.15.20.jpg,Family
Features from Qatar,Jassim al-Zainy,1973,Oil on board,48.5x78.3 cm,2007.1.3313,2007.1.3313.jpg,Family
Unknown,Ismail al-Shaikhly,1966,Oil on Canvas,45.7x53.3 cm,2007.1.184,2007.1.184.jpg,Family
Unknown,Gazbia Sirry,1955,Oil on Canvas ,133.8x68.4 cm,2007.1.1171,2007.1.1171.jpg,Family
Spring in Mariout ,Adham Wanly,1949,Oil in Panel,60.6x78.7 cm,2009.6.9,2009.6.9.jpg,Family
Unknown,Shakir Hassan Al Said,1959,Oil on Canvas,79.3x99.7 cm,2009.3.26,2009.3.26.jpg,Family
Unknown,Mahmood Ahmed,1993,Oil on Canvas,90.3x70.2 cm,2007.1.263,2007.1.263.jpg,Family
